Episode,Reward Mean,Reward Std
0,20.0,9.939818911831342
1,26.94,20.39746062626424
2,29.94,21.357350022884393
3,26.86,16.925731889640698
4,34.42,30.180848231950016
5,34.96,27.566617492902534
6,35.58,28.407104745116143
7,50.76,41.09625773717116
8,40.54,34.46169467684374
9,44.54,43.23295502276012
10,40.46,27.762716005463155
11,53.22,46.664457566760596
12,50.68,49.70691702368997
13,42.74,28.07120232551502
14,41.4,25.126878039263055
15,43.48,31.199512816709174
16,45.52,30.354070567223758
17,50.42,35.47172958850471
18,47.18,36.22192153931097
19,54.54,43.12827842610925
20,59.52,40.23045612468245
21,55.84,40.233498480743634
22,54.36,35.36594972568954
23,56.96,35.78992036872951
24,57.62,42.79994859809997
25,58.24,33.24669006081658
26,55.58,41.14126395724857
27,64.08,49.51397378518514
28,64.5,47.68574210390355
29,62.14,38.14184578648496
30,62.08,37.83111946532906
31,62.48,42.60809312794929
32,65.78,39.80567296253137
33,71.88,47.73956011527547
34,69.4,45.59166590507524
35,73.14,49.21097844993533
36,59.9,42.73090216693301
37,61.62,40.21536522276031
38,66.44,47.10972723334322
39,70.22,51.5756880710282
40,64.8,49.14631217090453
41,66.6,53.98073730507948
42,69.52,48.21171641831475
43,72.34,52.536315059204526
44,67.8,43.917650210365295
45,71.46,48.841871381018976
46,69.9,45.88169569665009
47,69.54,46.6639946854103
48,70.48,42.40860290082662
49,67.0,41.22863082858804
50,69.8,47.44470465710583
51,73.5,50.89253383355952
52,70.74,51.67313034837352
53,64.7,45.90392140111779
54,62.74,41.54169471747633
55,66.74,43.791693276236764
56,70.48,50.91649634450509
57,71.68,49.62073760032191
58,69.7,46.801816204074804
59,69.12,43.99392685360105
60,69.0,44.56770130935631
61,69.34,39.21918408126308
62,70.3,42.03867267171978
63,69.38,38.90238553096712
64,79.98,46.87706902100428
65,80.68,46.264215112762905
66,81.48,47.2555774485933
67,79.1,50.11796085237308
68,78.42,51.97002597651842
69,78.78,51.746802799786586
70,77.2,47.833879207105916
71,75.04,43.571531990509584
72,74.7,45.29558477379445
73,79.4,50.05756686056564
74,74.22,40.58585467869316
75,75.66,46.73654244806733
76,79.34,45.621753583131806
77,84.36,55.29512094208674
78,80.84,53.82800757969777
79,76.04,47.84640425361137
80,72.52,49.09795922439139
81,69.74,45.9877418449743
82,70.68,48.17195864815962
83,72.42,49.1687258325859
84,72.18,48.07689257845187
85,70.2,47.96999061913605
86,69.68,48.78993338794387
87,71.2,46.00304337758534
88,71.54,43.01637362679472
89,76.34,53.20962694851375
90,74.56,52.24563522438979
91,69.4,45.71345534960139
92,72.56,44.29544446102782
93,76.14,44.31523891394472
94,79.7,53.7457905328408
95,77.08,48.27166456628568
96,79.38,50.188401050441925
97,80.52,52.77394811836613
98,80.42,50.03642273384459
99,80.26,47.495604007107865
100,80.0,48.4417175583195
101,82.82,53.078315723089794
102,82.54,52.22306387028627
103,79.6,50.38690306021994
104,81.24,51.864654631068355
105,82.52,51.28205924102502
106,90.44,58.189401096763326
107,86.08,55.70416142443937
108,92.38,57.141190047110506
109,90.56,56.962851052242804
110,84.22,51.59042159160943
111,79.48,49.90520614124342
112,77.32,48.74441096166821
113,84.12,48.616721403237385
114,87.88,51.85002989391616
115,90.68,51.36436118555355
116,92.7,53.36899849163371
117,92.56,48.93757656443564
118,93.4,54.087336780433176
119,88.48,50.459980182318745
120,84.42,47.69490119499148
121,83.64,46.158752149511145
122,89.28,48.19254714164837
123,91.74,51.02344951098465
124,94.7,53.29362063136638
125,93.5,50.131128054333665
126,97.98,55.40342588685288
127,99.14,52.41259772230337
128,99.88,55.385066579358735
